city,state,state_id,country,lat,lng,population
Toronto,Ontario,ON,CA,43.666667,-79.416667,5213000
Montréal,Québec,QC,CA,45.5,-73.583333,3678000
Vancouver,British Columbia,BC,CA,49.25,-123.133333,2313328
Ottawa,Ontario,ON,CA,45.416667,-75.7,1145000
Calgary,Alberta,AB,CA,51.083333,-114.083333,1110000
Edmonton,Alberta,AB,CA,53.55,-113.5,1058000
Hamilton,Ontario,ON,CA,43.256101,-79.857484,721053
Winnipeg,Manitoba,MB,CA,49.883333,-97.166667,632063
Québec,Québec,QC,CA,46.8,-71.25,624177
Oshawa,Ontario,ON,CA,43.9,-78.866667,450963
Kitchener,Ontario,ON,CA,43.446976,-80.472484,417001
Halifax,Nova Scotia,NS,CA,44.65,-63.6,359111
London,Ontario,ON,CA,42.983333,-81.25,346765
Windsor,Ontario,ON,CA,42.301649,-83.030744,319246
Victoria,British Columbia,BC,CA,48.450234,-123.343529,289625
Saskatoon,Saskatchewan,SK,CA,52.133333,-106.666667,198958
Barrie,Ontario,ON,CA,44.383333,-79.7,182041
Regina,Saskatchewan,SK,CA,50.45,-104.616667,176183
Sudbury,Ontario,ON,CA,46.5,-80.966667,157857
Abbotsford,British Columbia,BC,CA,49.05,-122.3,151683
Sarnia,Ontario,ON,CA,42.978417,-82.388177,144172
Sherbrooke,Québec,QC,CA,45.4,-71.9,139652
Saint John’s,Newfoundland and Labrador,NL,CA,47.55,-52.666667,131469
Kelowna,British Columbia,BC,CA,49.9,-119.483333,125109
Trois-Rivières,Québec,QC,CA,46.35,-72.55,119693
Kingston,Ontario,ON,CA,44.3,-76.566667,114195
Thunder Bay,Ontario,ON,CA,48.4,-89.233333,99334
Moncton,New Brunswick,NB,CA,46.09652,-64.79757,90635
Saint John,New Brunswick,NB,CA,45.230798,-66.095316,87857
Nanaimo,British Columbia,BC,CA,49.15,-123.916667,84905
Peterborough,Ontario,ON,CA,44.3,-78.333333,83627
Saint-Jérôme,Québec,QC,CA,45.766667,-74.0,78439
Red Deer,Alberta,AB,CA,52.266667,-113.8,74857
Lethbridge,Alberta,AB,CA,49.7,-112.833333,70617
Kamloops,British Columbia,BC,CA,50.666667,-120.333333,68714
Prince George,British Columbia,BC,CA,53.916667,-122.766667,65558
Medicine Hat,Alberta,AB,CA,50.033333,-110.683333,63138
Drummondville,Québec,QC,CA,45.883333,-72.483333,59489
Chicoutimi,Québec,QC,CA,48.45,-71.066667,53940
Fredericton,New Brunswick,NB,CA,45.910648,-66.658649,52337
Chilliwack,British Columbia,BC,CA,49.166667,-121.95,51942
North Bay,Ontario,ON,CA,46.3,-79.45,50170
Shawinigan-Sud,Québec,QC,CA,46.528557,-72.751453,49161
Cornwall,Ontario,ON,CA,45.016667,-74.733333,48821
Joliette,Québec,QC,CA,46.034,-73.441,45361
Belleville,Ontario,ON,CA,44.166667,-77.383333,43990
Charlottetown,Prince Edward Island,PE,CA,46.238225,-63.139481,42402
Victoriaville,Québec,QC,CA,46.063106,-71.958802,41500
Grande Prairie,Alberta,AB,CA,55.166667,-118.8,41462
Penticton,British Columbia,BC,CA,49.5,-119.583333,37721
Sydney,Nova Scotia,NS,CA,46.15,-60.166667,37538
Orillia,Ontario,ON,CA,44.6,-79.416667,37483
Rimouski,Québec,QC,CA,48.433333,-68.516667,35584
Timmins,Ontario,ON,CA,48.466667,-81.333333,34974
Prince Albert,Saskatchewan,SK,CA,53.2,-105.75,34609
Campbell River,British Columbia,BC,CA,50.016667,-125.25,33430
Courtenay,British Columbia,BC,CA,49.683333,-125.0,32793
Orangeville,Ontario,ON,CA,43.916366,-80.096671,32640
Moose Jaw,Saskatchewan,SK,CA,50.4,-105.55,32166
Brandon,Manitoba,MB,CA,49.833333,-99.95,28418
Brockville,Ontario,ON,CA,44.594958,-75.682133,26458
Saint-Georges,Québec,QC,CA,46.116667,-70.683333,26149
Sept-Îles,Québec,QC,CA,50.2,-66.383333,25686
Rouyn-Noranda,Québec,QC,CA,48.25,-79.016667,24602
Whitehorse,Yukon,YT,CA,60.716667,-135.05,23276
Owen Sound,Ontario,ON,CA,44.566667,-80.85,22625
Fort McMurray,Alberta,AB,CA,56.733333,-111.383333,21863
Corner Brook,Newfoundland and Labrador,NL,CA,48.95,-57.933333,20791
Val-d’Or,Québec,QC,CA,48.116667,-77.766667,20625
New Glasgow,Nova Scotia,NS,CA,45.583333,-62.633333,20322
Terrace,British Columbia,BC,CA,54.5,-128.583333,19443
North Battleford,Saskatchewan,SK,CA,52.766667,-108.283333,19440
Yellowknife,Northwest Territories,NT,CA,62.45,-114.35,19234
